Source,ForestType,y1953,y1973,y1990,y2000,y2005,y2010,y2013,y2014
Harper2007,Total,15995900,14173100,10605700,8982100,NA,NA,NA,NA
MEFT2009,Total,NA,NA,10650142,9678402,9413218,NA,NA,NA
ONE2015,Total,NA,NA,NA,NA,9451350,8977337,8485509,NA
this study,Total,NA,NA,NA,NA,NA,NA,NA,NA
Harper2007,Moist,8765600,6876000,5234300,4166800,NA,NA,NA,NA
MEFT2009,Moist,NA,NA,5270599,4787771,4700430,NA,NA,NA
ONE2015,Moist,NA,NA,NA,NA,4555788,4457184,4345093,NA
this study,Moist,NA,NA,NA,NA,NA,NA,NA,NA
Harper2007,Dry,4252100,4027700,2711800,2457000,NA,NA,NA,NA
MEFT2009,Dry,NA,NA,3320582,3084976,3027505,NA,NA,NA
ONE2015,Dry,NA,NA,NA,NA,3223028,2970192,2678640,NA
this study,Dry,NA,NA,NA,NA,NA,NA,NA,NA
Harper2007,Spiny,2978200,3029800,2420000,2132200,NA,NA,NA,NA
MEFT2009,Spiny,NA,NA,2123630,1871735,1756884,NA,NA,NA
ONE2015,Spiny,NA,NA,NA,NA,1681527,1558533,1466765,NA
this study,Spiny,NA,NA,NA,NA,NA,NA,NA,NA
Harper2007,Mangroves,NA,NA,239600,226100,NA,NA,NA,NA
MEFT2009,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA
ONE2015,Mangroves,NA,NA,NA,NA,173564,171220,169877,NA
this study,Mangroves,NA,NA,NA,NA,NA,NA,NA,NA
