"Source" "ForestType" "y1953" "y1973" "y1990" "y2000" "y2005" "y2010" "y2013" "y2017"
"Harper2007" "Total" 15995900 14173100 10605700 8982100 NA NA NA NA
"MEFT2009" "Total" NA NA 10650142 9678402 9413218 NA NA NA
"ONE2015" "Total" NA NA NA NA 9451350 8977337 8485509 NA
"this study" "Total" 15968176 14241564 10762481 9879135 9673194 9320103 9065876 8445892
"Harper2007" "Moist" 8765600 6876000 5234300 4166800 NA NA NA NA
"MEFT2009" "Moist" NA NA 5270599 4787771 4700430 NA NA NA
"ONE2015" "Moist" NA NA NA NA 4555788 4457184 4345093 NA
"this study" "Moist" 8578299 6989135 5270157 4872127 4771239 4633359 4477922 4145402
"Harper2007" "Dry" 4252100 4027700 2711800 2457000 NA NA NA NA
"MEFT2009" "Dry" NA NA 3320582 3084976 3027505 NA NA NA
"ONE2015" "Dry" NA NA NA NA 3223028 2970192 2678640 NA
"this study" "Dry" 4761551 4434700 3224917 2940965 2882268 2734638 2647222 2416247
"Harper2007" "Spiny" 2978200 3029800 2420000 2132200 NA NA NA NA
"MEFT2009" "Spiny" NA NA 2123630 1871735 1756884 NA NA NA
"ONE2015" "Spiny" NA NA NA NA 1681527 1558533 1466765 NA
"this study" "Spiny" 2462487 2582380 2054453 1857429 1811356 1744295 1733256 1678334
"Harper2007" "Mangroves" NA NA 239600 226100 NA NA NA NA
"MEFT2009" "Mangroves" NA NA NA NA NA NA NA NA
"ONE2015" "Mangroves" NA NA NA NA 173564 171220 169877 NA
"this study" "Mangroves" 143412 199844 181226 177708 177508 177149 176943 175807
